name,latitude,longitude
우성스포츠센터,37.49238614627172,126.90983237468618
프레곤빌딩,37.48612718078578,126.90457509912622
하림빌딩,37.49428349959237,127.01664600669828
크레신타워,37.518195183969375,127.01847813152573
한주실업빌딩,37.513500887007005,126.94395989534348
백광빌딩,37.48202003578588,126.94944132673054
서원빌딩,37.48224135319379,126.94605749195468
SC한보건설/귀족,37.527955229634735,127.1206261560178
브라운스톤천호,37.53803874941219,127.12382208485906
동우빌딩,37.53505026778164,127.13856695580252
중부빌딩,37.53467648037231,127.13773224672887
일동빌딩,37.53822193303926,127.12627274769704
24시목포독천낙지,37.54619034813657,127.12645076662244
태성프라자,37.55164308479295,127.12778197832402
삼정빌딩,37.55008363501574,127.12719633394076
동성빌딩,37.550260473610805,127.17271500776567
흰돌교회,37.49101959700149,126.9027716500649
행진빌딩,37.51883858480527,126.93329106469297
한경빌딩,37.49678043756175,126.89937903678832
송림빌딩,37.502979990680565,126.89930279195956
동화빌딩,37.56258351843727,126.97297540786496
선일빌딩,37.55960836086665,126.99652849819152
대한극장,37.56114300675106,126.99537469015158
신아빌딩,37.56492744841905,126.97305081670385
신영빌딩,37.565352916084045,127.02157903823556
미래프라자개방화장실,37.55670045154594,126.9241613869806
논현빌딩,37.51144508767943,127.02033851686022
머리재빌딩,37.48109860276932,126.99831855298248
동국한방병원,37.49027433527269,126.99235094545794
예스씨제일은행,37.47418570827297,127.0478405347528
미켈란107빌딩,37.51489453645569,127.06044017296423
명품,37.49337006092684,127.12506014119565
대우유토피아,37.5154553130288,127.10761550673487
마포원조개방화장실,37.540838296491934,126.94181596529988
입석빌딩개방화장실,37.5614886970528,126.9155930026254
청기와예식장개방화장실,37.55707720772586,126.91855743245657
롯데리아,37.55301161919374,127.14381566120896
아시아선수촌 B동상가,37.508596451580026,127.07689838147915
보림빌딩,37.56425953520439,126.9859063042395
보승빌딩,37.56587470435472,126.9867879088086
삼구상사(주),37.563853976106095,126.98080545627715
한국교육학술정보관,37.56422021676201,127.00465328332469
안말어린이공원 공영주차장,37.53128608578535,127.12992147001792
KTF센터,37.51328756352046,126.94116937728828
이데아빌딩,37.51327396616559,126.94226708998326
"도봉소방서, 삼각산 파출소",37.619896842634205,127.01558068036842
세이브마트개방화장실,37.58668215685881,126.91762219426748
서울병원개방화장실,37.6087990348184,126.93076556246416
세광교회개방화장실,37.61466479256961,126.91302922343216
영신상가,37.5199078063244,126.90684412257389
오사빌딩,37.48093096747085,126.98151404128852
대흥빌딩,37.564223461580895,126.98534940092776
동원빌딩,37.56433201870572,127.01653322806412
삼성생명대치타워,37.50556234809761,127.0535691308521
성원개발,37.506904591683366,127.06127596936894
동도상가,37.52828255489711,127.03783778733565
동서상가,37.528008509687865,127.03887285526778
야구회관,37.488367063104704,127.03266165526172
성담빌딩,37.505775830204655,127.05077016291712
중구청소년수련관,37.55196113795373,127.01247512689224
